GEOID,FIPS
6067000100,6067
6067000200,6067
6067000300,6067
6067000400,6067
6067000500,6067
6067000600,6067
6067000700,6067
6067000800,6067
6067001101,6067
6067001200,6067
6067001300,6067
6067001400,6067
6067001500,6067
6067001600,6067
6067001700,6067
6067001800,6067
6067001900,6067
6067002000,6067
6067002100,6067
6067002200,6067
6067002300,6067
6067002400,6067
6067002500,6067
6067002600,6067
6067002700,6067
6067002800,6067
6067002900,6067
6067003000,6067
6067003101,6067
6067003102,6067
6067003202,6067
6067003203,6067
6067003204,6067
6067003300,6067
6067003400,6067
6067003501,6067
6067003502,6067
6067003600,6067
6067003700,6067
6067003800,6067
6067003900,6067
6067004001,6067
6067004004,6067
6067004005,6067
6067004006,6067
6067004008,6067
6067004009,6067
6067004010,6067
6067004011,6067
6067004012,6067
6067004100,6067
6067004201,6067
6067004202,6067
6067004203,6067
6067004300,6067
6067004401,6067
6067004402,6067
6067004501,6067
6067004502,6067
6067004601,6067
6067004602,6067
6067004701,6067
6067004702,6067
6067004801,6067
6067004802,6067
6067004903,6067
6067004904,6067
6067004905,6067
6067004906,6067
6067005001,6067
6067005002,6067
6067005101,6067
6067005102,6067
6067005201,6067
6067005202,6067
6067005204,6067
6067005205,6067
6067005301,6067
6067005402,6067
6067005403,6067
6067005404,6067
6067005502,6067
6067005505,6067
6067005506,6067
6067005508,6067
6067005509,6067
6067005510,6067
6067005601,6067
6067005605,6067
6067005606,6067
6067005701,6067
6067005702,6067
6067005801,6067
6067005803,6067
6067005804,6067
6067005901,6067
6067005903,6067
6067005904,6067
6067006002,6067
6067006003,6067
6067006004,6067
6067006101,6067
6067006102,6067
6067006201,6067
6067006202,6067
6067006300,6067
6067006400,6067
6067006500,6067
6067006600,6067
6067006701,6067
6067006702,6067
6067006800,6067
6067006900,6067
6067007001,6067
6067007004,6067
6067007007,6067
6067007010,6067
6067007011,6067
6067007012,6067
6067007013,6067
6067007014,6067
6067007015,6067
6067007016,6067
6067007017,6067
6067007018,6067
6067007019,6067
6067007020,6067
6067007101,6067
6067007102,6067
6067007103,6067
6067007104,6067
6067007105,6067
6067007106,6067
6067007107,6067
6067007202,6067
6067007204,6067
6067007206,6067
6067007207,6067
6067007208,6067
6067007209,6067
6067007301,6067
6067007402,6067
6067007403,6067
6067007406,6067
6067007413,6067
6067007414,6067
6067007415,6067
6067007416,6067
6067007417,6067
6067007421,6067
6067007422,6067
6067007423,6067
6067007424,6067
6067007426,6067
6067007427,6067
6067007428,6067
6067007429,6067
6067007430,6067
6067007431,6067
6067007432,6067
6067007433,6067
6067007501,6067
6067007503,6067
6067007504,6067
6067007601,6067
6067007602,6067
6067007701,6067
6067007702,6067
6067007801,6067
6067007802,6067
6067007903,6067
6067007904,6067
6067007905,6067
6067007906,6067
6067008005,6067
6067008006,6067
6067008007,6067
6067008008,6067
6067008009,6067
6067008010,6067
6067008111,6067
6067008113,6067
6067008117,6067
6067008119,6067
6067008120,6067
6067008122,6067
6067008124,6067
6067008125,6067
6067008127,6067
6067008128,6067
6067008129,6067
6067008130,6067
6067008131,6067
6067008132,6067
6067008133,6067
6067008134,6067
6067008135,6067
6067008136,6067
6067008137,6067
6067008138,6067
6067008139,6067
6067008140,6067
6067008141,6067
6067008142,6067
6067008143,6067
6067008144,6067
6067008145,6067
6067008203,6067
6067008204,6067
6067008206,6067
6067008207,6067
6067008208,6067
6067008209,6067
6067008210,6067
6067008211,6067
6067008402,6067
6067008403,6067
6067008404,6067
6067008501,6067
6067008504,6067
6067008505,6067
6067008506,6067
6067008507,6067
6067008508,6067
6067008509,6067
6067008510,6067
6067008512,6067
6067008513,6067
6067008600,6067
6067008702,6067
6067008703,6067
6067008704,6067
6067008705,6067
6067008801,6067
6067008905,6067
6067008907,6067
6067008908,6067
6067008909,6067
6067008910,6067
6067008911,6067
6067008912,6067
6067008913,6067
6067009004,6067
6067009005,6067
6067009006,6067
6067009007,6067
6067009008,6067
6067009010,6067
6067009011,6067
6067009103,6067
6067009105,6067
6067009106,6067
6067009107,6067
6067009108,6067
6067009109,6067
6067009110,6067
6067009111,6067
6067009112,6067
6067009201,6067
6067009307,6067
6067009308,6067
6067009309,6067
6067009310,6067
6067009311,6067
6067009312,6067
6067009314,6067
6067009316,6067
6067009317,6067
6067009318,6067
6067009319,6067
6067009320,6067
6067009321,6067
6067009322,6067
6067009323,6067
6067009324,6067
6067009325,6067
6067009326,6067
6067009328,6067
6067009329,6067
6067009330,6067
6067009331,6067
6067009332,6067
6067009403,6067
6067009404,6067
6067009406,6067
6067009407,6067
6067009408,6067
6067009501,6067
6067009502,6067
6067009503,6067
6067009504,6067
6067009601,6067
6067009606,6067
6067009608,6067
6067009609,6067
6067009610,6067
6067009611,6067
6067009612,6067
6067009614,6067
6067009615,6067
6067009616,6067
6067009617,6067
6067009618,6067
6067009619,6067
6067009622,6067
6067009630,6067
6067009632,6067
6067009633,6067
6067009634,6067
6067009635,6067
6067009636,6067
6067009637,6067
6067009638,6067
6067009639,6067
6067009800,6067
6067009900,6067
6067988300,6067
